timeindex,CR-heat-demand-profile,NR-heat-demand-profile,WR-heat-demand-profile,ER-heat-demand-profile
2021-01-01 00:00,9.85634425941037E-05,9.85634425941046E-05,9.85634425941039E-05,9.85634425941044E-05
2021-01-01 01:00,9.06896786950759E-05,9.06896786950768E-05,9.06896786950762E-05,9.06896786950766E-05
2021-01-01 02:00,8.32043220156454E-05,8.32043220156462E-05,8.32043220156456E-05,8.32043220156460E-05
2021-01-01 03:00,7.93168427387996E-05,7.93168427388003E-05,7.93168427387998E-05,7.93168427388002E-05
2021-01-01 04:00,7.59949388869813E-05,7.59949388869820E-05,7.59949388869815E-05,7.59949388869819E-05
2021-01-01 05:00,7.16372824495705E-05,7.16372824495711E-05,7.16372824495706E-05,7.16372824495710E-05
2021-01-01 06:00,7.90647187541488E-05,7.90647187541495E-05,7.90647187541490E-05,7.90647187541493E-05
2021-01-01 07:00,8.52587917824622E-05,8.52587917824630E-05,8.52587917824625E-05,8.52587917824629E-05
2021-01-01 08:00,9.26555643591776E-05,9.26555643591785E-05,9.26555643591779E-05,9.26555643591783E-05
2021-01-01 09:00,9.80898583526649E-05,9.80898583526659E-05,9.80898583526652E-05,9.80898583526657E-05
2021-01-01 10:00,1.01013133742265E-04,1.01013133742266E-04,1.01013133742265E-04,1.01013133742266E-04
2021-01-01 11:00,1.01830833151943E-04,1.01830833151944E-04,1.01830833151944E-04,1.01830833151944E-04
2021-01-01 12:00,1.07472959078724E-04,1.07472959078725E-04,1.07472959078724E-04,1.07472959078725E-04
2021-01-01 13:00,1.02393001496097E-04,1.02393001496098E-04,1.02393001496098E-04,1.02393001496098E-04
2021-01-01 14:00,1.02280567827266E-04,1.02280567827267E-04,1.02280567827267E-04,1.02280567827267E-04
2021-01-01 15:00,9.62193709530258E-05,9.62193709530267E-05,9.62193709530260E-05,9.62193709530264E-05
2021-01-01 16:00,9.54970698078099E-05,9.54970698078108E-05,9.54970698078101E-05,9.54970698078106E-05
