timeindex,CR-heat-demand-profile,NR-heat-demand-profile,WR-heat-demand-profile,ER-heat-demand-profile
2021-01-01 17:00,9.77048582139414E-05,9.77048582139423E-05,9.77048582139417E-05,9.77048582139421E-05
2021-01-01 18:00,1.01950080982521E-04,1.01950080982522E-04,1.01950080982522E-04,1.01950080982522E-04
2021-01-01 19:00,1.25581593922226E-04,1.25581593922227E-04,1.25581593922226E-04,1.25581593922227E-04
2021-01-01 20:00,1.33830136717356E-04,1.33830136717357E-04,1.33830136717356E-04,1.33830136717357E-04
2021-01-01 21:00,1.30055091109341E-04,1.30055091109342E-04,1.30055091109341E-04,1.30055091109342E-04
2021-01-01 22:00,1.18079201838427E-04,1.18079201838428E-04,1.18079201838427E-04,1.18079201838428E-04
2021-01-01 23:00,1.00365788376270E-04,1.00365788376271E-04,1.00365788376270E-04,1.00365788376270E-04
2021-01-02 00:00,8.69929959471551E-05,8.69929959471559E-05,8.69929959471553E-05,8.69929959471557E-05
2021-01-02 01:00,7.99062677299427E-05,7.99062677299435E-05,7.99062677299429E-05,7.99062677299433E-05
2021-01-02 02:00,7.46491419418857E-05,7.46491419418864E-05,7.46491419418859E-05,7.46491419418862E-05
2021-01-02 03:00,7.37224159442502E-05,7.37224159442509E-05,7.37224159442504E-05,7.37224159442508E-05
2021-01-02 04:00,7.25708226089532E-05,7.25708226089539E-05,7.25708226089534E-05,7.25708226089538E-05
2021-01-02 05:00,7.41006019212265E-05,7.41006019212272E-05,7.41006019212267E-05,7.41006019212270E-05
2021-01-02 06:00,8.12214009471754E-05,8.12214009471762E-05,8.12214009471756E-05,8.12214009471760E-05
2021-01-02 07:00,9.30575999022695E-05,9.30575999022703E-05,9.30575999022697E-05,9.30575999022701E-05
2021-01-02 08:00,1.07152693476600E-04,1.07152693476601E-04,1.07152693476600E-04,1.07152693476601E-04
2021-01-02 09:00,1.18665219748696E-04,1.18665219748697E-04,1.18665219748697E-04,1.18665219748697E-04
2021-01-02 10:00,1.20378981428147E-04,1.20378981428148E-04,1.20378981428148E-04,1.20378981428148E-04
2021-01-02 11:00,1.20368760185526E-04,1.20368760185527E-04,1.20368760185527E-04,1.20368760185527E-04
2021-01-02 12:00,1.22160884725071E-04,1.22160884725072E-04,1.22160884725072E-04,1.22160884725072E-04
2021-01-02 13:00,1.18668626829570E-04,1.18668626829571E-04,1.18668626829570E-04,1.18668626829571E-04
2021-01-02 14:00,1.15305838007268E-04,1.15305838007269E-04,1.15305838007268E-04,1.15305838007269E-04
2021-01-02 15:00,1.15196811419311E-04,1.15196811419312E-04,1.15196811419311E-04,1.15196811419312E-04
2021-01-02 16:00,1.18607299373844E-04,1.18607299373845E-04,1.18607299373844E-04,1.18607299373845E-04
2021-01-02 17:00,1.16065617042094E-04,1.16065617042095E-04,1.16065617042094E-04,1.16065617042095E-04
2021-01-02 18:00,1.17142254598170E-04,1.17142254598172E-04,1.17142254598171E-04,1.17142254598171E-04
2021-01-02 19:00,1.40167307142363E-04,1.40167307142365E-04,1.40167307142364E-04,1.40167307142364E-04
2021-01-02 20:00,1.48627088951660E-04,1.48627088951662E-04,1.48627088951661E-04,1.48627088951661E-04
2021-01-02 21:00,1.40753325052633E-04,1.40753325052634E-04,1.40753325052633E-04,1.40753325052634E-04
2021-01-02 22:00,1.28559382605804E-04,1.28559382605806E-04,1.28559382605805E-04,1.28559382605805E-04
2021-01-02 23:00,1.12317828081068E-04,1.12317828081069E-04,1.12317828081068E-04,1.12317828081069E-04
2021-01-03 00:00,9.89893277033112E-05,9.89893277033121E-05,9.89893277033114E-05,9.89893277033119E-05
2021-01-03 01:00,9.28327325646079E-05,9.28327325646088E-05,9.28327325646082E-05,9.28327325646086E-05
2021-01-03 02:00,8.74836155929621E-05,8.74836155929629E-05,8.74836155929623E-05,8.74836155929627E-05
2021-01-03 03:00,8.37085699849471E-05,8.37085699849478E-05,8.37085699849473E-05,8.37085699849477E-05
2021-01-03 04:00,8.38857381903774E-05,8.38857381903781E-05,8.38857381903776E-05,8.38857381903780E-05
2021-01-03 05:00,8.65773320805686E-05,8.65773320805694E-05,8.65773320805688E-05,8.65773320805692E-05
2021-01-03 06:00,9.64783090994239E-05,9.64783090994248E-05,9.64783090994241E-05,9.64783090994246E-05
2021-01-03 07:00,1.04024993234580E-04,1.04024993234581E-04,1.04024993234581E-04,1.04024993234581E-04
2021-01-03 08:00,1.14191722561581E-04,1.14191722561582E-04,1.14191722561581E-04,1.14191722561582E-04
2021-01-03 09:00,1.19193317284114E-04,1.19193317284115E-04,1.19193317284114E-04,1.19193317284114E-04
2021-01-03 10:00,1.20365353104653E-04,1.20365353104654E-04,1.20365353104653E-04,1.20365353104653E-04
2021-01-03 11:00,1.20753760324250E-04,1.20753760324251E-04,1.20753760324250E-04,1.20753760324251E-04
2021-01-03 12:00,1.19874733458846E-04,1.19874733458847E-04,1.19874733458846E-04,1.19874733458846E-04
2021-01-03 13:00,1.22743495554467E-04,1.22743495554468E-04,1.22743495554467E-04,1.22743495554468E-04
2021-01-03 14:00,1.20590220442314E-04,1.20590220442315E-04,1.20590220442314E-04,1.20590220442315E-04
2021-01-03 15:00,1.17564732626504E-04,1.17564732626505E-04,1.17564732626505E-04,1.17564732626505E-04
2021-01-03 16:00,1.18545971918118E-04,1.18545971918119E-04,1.18545971918119E-04,1.18545971918119E-04
2021-01-03 17:00,1.19939467995445E-04,1.19939467995446E-04,1.19939467995445E-04,1.19939467995446E-04
2021-01-03 18:00,1.27380532623518E-04,1.27380532623519E-04,1.27380532623518E-04,1.27380532623519E-04
2021-01-03 19:00,1.49642399052011E-04,1.49642399052012E-04,1.49642399052011E-04,1.49642399052012E-04
2021-01-03 20:00,1.55662710955768E-04,1.55662710955769E-04,1.55662710955768E-04,1.55662710955769E-04
2021-01-03 21:00,1.50627045424499E-04,1.50627045424500E-04,1.50627045424499E-04,1.50627045424500E-04
2021-01-03 22:00,1.35090756640610E-04,1.35090756640611E-04,1.35090756640610E-04,1.35090756640611E-04
2021-01-03 23:00,1.13203669108220E-04,1.13203669108221E-04,1.13203669108220E-04,1.13203669108221E-04
2021-01-04 00:00,1.00989284176149E-04,1.00989284176150E-04,1.00989284176150E-04,1.00989284176150E-04
2021-01-04 01:00,9.52722024701483E-05,9.52722024701492E-05,9.52722024701486E-05,9.52722024701490E-05
2021-01-04 02:00,9.13710948698079E-05,9.13710948698087E-05,9.13710948698081E-05,9.13710948698085E-05
2021-01-04 03:00,8.89929524199934E-05,8.89929524199942E-05,8.89929524199936E-05,8.89929524199940E-05
2021-01-04 04:00,8.85943239577752E-05,8.85943239577760E-05,8.85943239577754E-05,8.85943239577758E-05
2021-01-04 05:00,8.97425102121985E-05,8.97425102121993E-05,8.97425102121987E-05,8.97425102121991E-05
2021-01-04 06:00,9.39775117381576E-05,9.39775117381585E-05,9.39775117381578E-05,9.39775117381583E-05
2021-01-04 07:00,1.06352029471290E-04,1.06352029471291E-04,1.06352029471290E-04,1.06352029471291E-04
2021-01-04 08:00,1.16893537694393E-04,1.16893537694394E-04,1.16893537694394E-04,1.16893537694394E-04
2021-01-04 09:00,1.28092612526113E-04,1.28092612526114E-04,1.28092612526113E-04,1.28092612526114E-04
2021-01-04 10:00,1.28453763098721E-04,1.28453763098722E-04,1.28453763098721E-04,1.28453763098722E-04
2021-01-04 11:00,1.24201726168393E-04,1.24201726168395E-04,1.24201726168394E-04,1.24201726168394E-04
2021-01-04 12:00,1.22631061885636E-04,1.22631061885637E-04,1.22631061885637E-04,1.22631061885637E-04
2021-01-04 13:00,1.25135266327776E-04,1.25135266327777E-04,1.25135266327777E-04,1.25135266327777E-04
2021-01-04 14:00,1.26722966014902E-04,1.26722966014903E-04,1.26722966014902E-04,1.26722966014903E-04
2021-01-04 15:00,1.25973408222697E-04,1.25973408222698E-04,1.25973408222697E-04,1.25973408222697E-04
2021-01-04 16:00,1.23165973582801E-04,1.23165973582802E-04,1.23165973582801E-04,1.23165973582802E-04
2021-01-04 17:00,1.25295399128838E-04,1.25295399128839E-04,1.25295399128839E-04,1.25295399128839E-04
2021-01-04 18:00,1.26923983786448E-04,1.26923983786449E-04,1.26923983786448E-04,1.26923983786449E-04
2021-01-04 19:00,1.49042752818247E-04,1.49042752818248E-04,1.49042752818247E-04,1.49042752818248E-04
2021-01-04 20:00,1.54821161979974E-04,1.54821161979975E-04,1.54821161979974E-04,1.54821161979975E-04
2021-01-04 21:00,1.48868991693690E-04,1.48868991693692E-04,1.48868991693691E-04,1.48868991693691E-04
2021-01-04 22:00,1.36579650982399E-04,1.36579650982401E-04,1.36579650982400E-04,1.36579650982400E-04
2021-01-04 23:00,1.17166104164286E-04,1.17166104164287E-04,1.17166104164286E-04,1.17166104164287E-04
2021-01-05 00:00,1.02185169562804E-04,1.02185169562805E-04,1.02185169562804E-04,1.02185169562805E-04
2021-01-05 01:00,9.42262286419348E-05,9.42262286419357E-05,9.42262286419350E-05,9.42262286419355E-05
2021-01-05 02:00,9.04068909825622E-05,9.04068909825630E-05,9.04068909825624E-05,9.04068909825628E-05
2021-01-05 03:00,9.00832182995645E-05,9.00832182995653E-05,9.00832182995647E-05,9.00832182995651E-05
2021-01-05 04:00,8.84546336419551E-05,8.84546336419559E-05,8.84546336419553E-05,8.84546336419557E-05
2021-01-05 05:00,9.14051656785445E-05,9.14051656785453E-05,9.14051656785447E-05,9.14051656785451E-05
2021-01-05 06:00,9.71801677593978E-05,9.71801677593987E-05,9.71801677593980E-05,9.71801677593985E-05
2021-01-05 07:00,1.04931276746974E-04,1.04931276746975E-04,1.04931276746974E-04,1.04931276746975E-04
2021-01-05 08:00,1.15735130197349E-04,1.15735130197350E-04,1.15735130197349E-04,1.15735130197350E-04
2021-01-05 09:00,1.25639514297078E-04,1.25639514297079E-04,1.25639514297078E-04,1.25639514297079E-04
2021-01-05 10:00,1.24395929778192E-04,1.24395929778193E-04,1.24395929778192E-04,1.24395929778193E-04
2021-01-05 11:00,1.26688895206165E-04,1.26688895206166E-04,1.26688895206165E-04,1.26688895206166E-04
2021-01-05 12:00,1.22964955811255E-04,1.22964955811256E-04,1.22964955811255E-04,1.22964955811256E-04
2021-01-05 13:00,1.19755485628267E-04,1.19755485628269E-04,1.19755485628268E-04,1.19755485628268E-04
2021-01-05 14:00,1.17912254875618E-04,1.17912254875619E-04,1.17912254875618E-04,1.17912254875618E-04
2021-01-05 15:00,1.17823670772902E-04,1.17823670772903E-04,1.17823670772903E-04,1.17823670772903E-04
2021-01-05 16:00,1.16396103886839E-04,1.16396103886840E-04,1.16396103886839E-04,1.16396103886840E-04
2021-01-05 17:00,1.09885172337275E-04,1.09885172337276E-04,1.09885172337275E-04,1.09885172337276E-04
2021-01-05 18:00,1.14992386566891E-04,1.14992386566892E-04,1.14992386566891E-04,1.14992386566892E-04
2021-01-05 19:00,1.41087218978251E-04,1.41087218978253E-04,1.41087218978252E-04,1.41087218978252E-04
2021-01-05 20:00,1.52422577044917E-04,1.52422577044919E-04,1.52422577044918E-04,1.52422577044919E-04
2021-01-05 21:00,1.49008682009510E-04,1.49008682009512E-04,1.49008682009511E-04,1.49008682009511E-04
2021-01-05 22:00,1.34031154488902E-04,1.34031154488903E-04,1.34031154488902E-04,1.34031154488903E-04
2021-01-05 23:00,1.16045174556852E-04,1.16045174556853E-04,1.16045174556852E-04,1.16045174556853E-04
2021-01-06 00:00,1.01919417254659E-04,1.01919417254660E-04,1.01919417254659E-04,1.01919417254659E-04
2021-01-06 01:00,9.32143256224578E-05,9.32143256224587E-05,9.32143256224580E-05,9.32143256224585E-05
2021-01-06 02:00,9.04102980634358E-05,9.04102980634367E-05,9.04102980634361E-05,9.04102980634365E-05
2021-01-06 03:00,8.82399875469145E-05,8.82399875469154E-05,8.82399875469148E-05,8.82399875469152E-05
2021-01-06 04:00,8.81582176059467E-05,8.81582176059475E-05,8.81582176059469E-05,8.81582176059474E-05
2021-01-06 05:00,8.68498985504614E-05,8.68498985504622E-05,8.68498985504616E-05,8.68498985504620E-05
2021-01-06 06:00,9.14119798402918E-05,9.14119798402927E-05,9.14119798402920E-05,9.14119798402925E-05
2021-01-06 07:00,9.54629989990733E-05,9.54629989990742E-05,9.54629989990735E-05,9.54629989990740E-05
2021-01-06 08:00,9.71426898697875E-05,9.71426898697885E-05,9.71426898697878E-05,9.71426898697882E-05
2021-01-06 09:00,9.72755660238603E-05,9.72755660238612E-05,9.72755660238605E-05,9.72755660238610E-05
2021-01-06 10:00,1.00249947626565E-04,1.00249947626566E-04,1.00249947626566E-04,1.00249947626566E-04
2021-01-06 11:00,1.02379373172603E-04,1.02379373172604E-04,1.02379373172603E-04,1.02379373172603E-04
2021-01-06 12:00,1.03892117080508E-04,1.03892117080509E-04,1.03892117080508E-04,1.03892117080508E-04
2021-01-06 13:00,1.08938003854398E-04,1.08938003854399E-04,1.08938003854398E-04,1.08938003854398E-04
2021-01-06 14:00,1.08498490421696E-04,1.08498490421697E-04,1.08498490421696E-04,1.08498490421696E-04
2021-01-06 15:00,1.04576940336113E-04,1.04576940336114E-04,1.04576940336113E-04,1.04576940336114E-04
2021-01-06 16:00,1.09363888963605E-04,1.09363888963606E-04,1.09363888963605E-04,1.09363888963606E-04
2021-01-06 17:00,1.11176455988392E-04,1.11176455988393E-04,1.11176455988392E-04,1.11176455988393E-04
2021-01-06 18:00,1.14781147552724E-04,1.14781147552725E-04,1.14781147552724E-04,1.14781147552725E-04
2021-01-06 19:00,1.39267837791717E-04,1.39267837791718E-04,1.39267837791717E-04,1.39267837791718E-04
2021-01-06 20:00,1.48627088951660E-04,1.48627088951662E-04,1.48627088951661E-04,1.48627088951661E-04
2021-01-06 21:00,1.46051335811174E-04,1.46051335811175E-04,1.46051335811174E-04,1.46051335811175E-04
2021-01-06 22:00,1.32147038765768E-04,1.32147038765769E-04,1.32147038765768E-04,1.32147038765769E-04
2021-01-06 23:00,1.11694332281188E-04,1.11694332281189E-04,1.11694332281189E-04,1.11694332281189E-04
2021-01-07 00:00,9.35311841437082E-05,9.35311841437091E-05,9.35311841437084E-05,9.35311841437088E-05
2021-01-07 01:00,8.69521109766712E-05,8.69521109766720E-05,8.69521109766714E-05,8.69521109766718E-05
2021-01-07 02:00,8.42605170864799E-05,8.42605170864807E-05,8.42605170864801E-05,8.42605170864805E-05
2021-01-07 03:00,8.38925523521247E-05,8.38925523521255E-05,8.38925523521249E-05,8.38925523521253E-05
2021-01-07 04:00,8.38789240286300E-05,8.38789240286308E-05,8.38789240286302E-05,8.38789240286306E-05
2021-01-07 05:00,8.79946777240110E-05,8.79946777240119E-05,8.79946777240113E-05,8.79946777240117E-05
2021-01-07 06:00,9.80217167351918E-05,9.80217167351927E-05,9.80217167351920E-05,9.80217167351925E-05
2021-01-07 07:00,1.09697782889224E-04,1.09697782889225E-04,1.09697782889224E-04,1.09697782889225E-04
2021-01-07 08:00,1.21039955117637E-04,1.21039955117638E-04,1.21039955117638E-04,1.21039955117638E-04
2021-01-07 09:00,1.23179601906296E-04,1.23179601906297E-04,1.23179601906296E-04,1.23179601906296E-04
2021-01-07 10:00,1.19867919297098E-04,1.19867919297099E-04,1.19867919297099E-04,1.19867919297099E-04
2021-01-07 11:00,1.21315928668404E-04,1.21315928668405E-04,1.21315928668404E-04,1.21315928668405E-04
2021-01-07 12:00,1.26436771221514E-04,1.26436771221516E-04,1.26436771221515E-04,1.26436771221515E-04
2021-01-07 13:00,1.03823975463034E-04,1.03823975463035E-04,1.03823975463035E-04,1.03823975463035E-04
2021-01-07 14:00,1.07091366020874E-04,1.07091366020875E-04,1.07091366020874E-04,1.07091366020875E-04
2021-01-07 15:00,1.14491545678463E-04,1.14491545678464E-04,1.14491545678463E-04,1.14491545678464E-04
2021-01-07 16:00,1.15707873550360E-04,1.15707873550361E-04,1.15707873550360E-04,1.15707873550361E-04
2021-01-07 17:00,1.15472784970077E-04,1.15472784970078E-04,1.15472784970077E-04,1.15472784970078E-04
2021-01-07 18:00,1.21172831271710E-04,1.21172831271711E-04,1.21172831271710E-04,1.21172831271711E-04
2021-01-07 19:00,1.41421112903870E-04,1.41421112903871E-04,1.41421112903870E-04,1.41421112903871E-04
2021-01-07 20:00,1.52674701029568E-04,1.52674701029570E-04,1.52674701029569E-04,1.52674701029569E-04
2021-01-07 21:00,1.44848636262772E-04,1.44848636262773E-04,1.44848636262772E-04,1.44848636262773E-04
2021-01-07 22:00,1.31697304090445E-04,1.31697304090446E-04,1.31697304090445E-04,1.31697304090446E-04
2021-01-07 23:00,1.11084464804803E-04,1.11084464804804E-04,1.11084464804804E-04,1.11084464804804E-04
2021-01-08 00:00,9.94356552977606E-05,9.94356552977615E-05,9.94356552977608E-05,9.94356552977613E-05
2021-01-08 01:00,9.02024661301426E-05,9.02024661301434E-05,9.02024661301428E-05,9.02024661301432E-05
2021-01-08 02:00,8.59776858468044E-05,8.59776858468053E-05,8.59776858468047E-05,8.59776858468051E-05
2021-01-08 03:00,8.42162250351224E-05,8.42162250351231E-05,8.42162250351226E-05,8.42162250351230E-05
2021-01-08 04:00,8.33848973019494E-05,8.33848973019501E-05,8.33848973019496E-05,8.33848973019500E-05
2021-01-08 05:00,8.72451199318059E-05,8.72451199318067E-05,8.72451199318061E-05,8.72451199318065E-05
2021-01-08 06:00,9.55345476974201E-05,9.55345476974210E-05,9.55345476974204E-05,9.55345476974208E-05
2021-01-08 07:00,1.04335037594083E-04,1.04335037594084E-04,1.04335037594084E-04,1.04335037594084E-04
2021-01-08 08:00,1.15380793786488E-04,1.15380793786489E-04,1.15380793786489E-04,1.15380793786489E-04
2021-01-08 09:00,1.20317653972421E-04,1.20317653972422E-04,1.20317653972422E-04,1.20317653972422E-04
2021-01-08 10:00,1.16307519784124E-04,1.16307519784125E-04,1.16307519784124E-04,1.16307519784125E-04
2021-01-08 11:00,1.23830354353165E-04,1.23830354353166E-04,1.23830354353165E-04,1.23830354353165E-04
2021-01-08 12:00,1.26927390867321E-04,1.26927390867323E-04,1.26927390867322E-04,1.26927390867322E-04
2021-01-08 13:00,1.18842387954127E-04,1.18842387954128E-04,1.18842387954127E-04,1.18842387954128E-04
2021-01-08 14:00,1.21513539359076E-04,1.21513539359077E-04,1.21513539359076E-04,1.21513539359077E-04
2021-01-08 15:00,1.21803141233337E-04,1.21803141233338E-04,1.21803141233337E-04,1.21803141233338E-04
2021-01-08 16:00,1.19026370321304E-04,1.19026370321305E-04,1.19026370321305E-04,1.19026370321305E-04
2021-01-08 17:00,1.15540926587550E-04,1.15540926587551E-04,1.15540926587551E-04,1.15540926587551E-04
2021-01-08 18:00,1.15176368934069E-04,1.15176368934070E-04,1.15176368934069E-04,1.15176368934070E-04
2021-01-08 19:00,1.32385534426924E-04,1.32385534426926E-04,1.32385534426925E-04,1.32385534426925E-04
2021-01-08 20:00,1.50207974477039E-04,1.50207974477040E-04,1.50207974477039E-04,1.50207974477040E-04
2021-01-08 21:00,1.52146603494151E-04,1.52146603494152E-04,1.52146603494151E-04,1.52146603494152E-04
2021-01-08 22:00,1.38436510058544E-04,1.38436510058545E-04,1.38436510058544E-04,1.38436510058545E-04
2021-01-08 23:00,1.16729997812458E-04,1.16729997812459E-04,1.16729997812458E-04,1.16729997812458E-04
2021-01-09 00:00,1.00750788514993E-04,1.00750788514994E-04,1.00750788514993E-04,1.00750788514994E-04
2021-01-09 01:00,9.32347681076998E-05,9.32347681077006E-05,9.32347681077000E-05,9.32347681077004E-05
2021-01-09 02:00,8.78311378420754E-05,8.78311378420762E-05,8.78311378420756E-05,8.78311378420760E-05
2021-01-09 03:00,8.70168455132707E-05,8.70168455132715E-05,8.70168455132709E-05,8.70168455132713E-05
2021-01-09 04:00,8.57357831047746E-05,8.57357831047754E-05,8.57357831047748E-05,8.57357831047752E-05
2021-01-09 05:00,9.16095905309641E-05,9.16095905309649E-05,9.16095905309643E-05,9.16095905309647E-05
2021-01-09 06:00,9.61921143060365E-05,9.61921143060374E-05,9.61921143060367E-05,9.61921143060372E-05
2021-01-09 07:00,1.07581985666681E-04,1.07581985666682E-04,1.07581985666681E-04,1.07581985666682E-04
2021-01-09 08:00,1.16743626135952E-04,1.16743626135953E-04,1.16743626135953E-04,1.16743626135953E-04
2021-01-09 09:00,1.23639557824240E-04,1.23639557824241E-04,1.23639557824240E-04,1.23639557824241E-04
2021-01-09 10:00,1.27571329152443E-04,1.27571329152444E-04,1.27571329152443E-04,1.27571329152444E-04
2021-01-09 11:00,1.28382214400374E-04,1.28382214400375E-04,1.28382214400374E-04,1.28382214400375E-04
2021-01-09 12:00,1.24627611277601E-04,1.24627611277602E-04,1.24627611277601E-04,1.24627611277602E-04
2021-01-09 13:00,1.22160884725071E-04,1.22160884725072E-04,1.22160884725072E-04,1.22160884725072E-04
2021-01-09 14:00,1.22246061746913E-04,1.22246061746914E-04,1.22246061746913E-04,1.22246061746914E-04
2021-01-09 15:00,1.18137122213279E-04,1.18137122213280E-04,1.18137122213279E-04,1.18137122213280E-04
2021-01-09 16:00,1.17963361088722E-04,1.17963361088724E-04,1.17963361088723E-04,1.17963361088723E-04
2021-01-09 17:00,1.20849158588712E-04,1.20849158588713E-04,1.20849158588713E-04,1.20849158588713E-04
2021-01-09 18:00,1.25210222106997E-04,1.25210222106998E-04,1.25210222106997E-04,1.25210222106998E-04
2021-01-09 19:00,1.43598237582139E-04,1.43598237582140E-04,1.43598237582139E-04,1.43598237582140E-04
2021-01-09 20:00,1.53638904916814E-04,1.53638904916815E-04,1.53638904916814E-04,1.53638904916815E-04
2021-01-09 21:00,1.46075185377289E-04,1.46075185377291E-04,1.46075185377290E-04,1.46075185377290E-04
2021-01-09 22:00,1.31281640223859E-04,1.31281640223860E-04,1.31281640223859E-04,1.31281640223859E-04
2021-01-09 23:00,1.11895350052734E-04,1.11895350052735E-04,1.11895350052735E-04,1.11895350052735E-04
2021-01-10 00:00,9.82908761242109E-05,9.82908761242118E-05,9.82908761242111E-05,9.82908761242116E-05
2021-01-10 01:00,9.19025994860988E-05,9.19025994860997E-05,9.19025994860990E-05,9.19025994860995E-05
2021-01-10 02:00,8.80968901502208E-05,8.80968901502217E-05,8.80968901502211E-05,8.80968901502215E-05
2021-01-10 03:00,8.61105620008772E-05,8.61105620008780E-05,8.61105620008774E-05,8.61105620008778E-05
2021-01-10 04:00,8.49623757464539E-05,8.49623757464546E-05,8.49623757464541E-05,8.49623757464544E-05
2021-01-10 05:00,8.66216241319262E-05,8.66216241319270E-05,8.66216241319264E-05,8.66216241319268E-05
2021-01-10 06:00,9.66929551944645E-05,9.66929551944654E-05,9.66929551944647E-05,9.66929551944652E-05
2021-01-10 07:00,1.07040259807769E-04,1.07040259807770E-04,1.07040259807769E-04,1.07040259807770E-04
2021-01-10 08:00,1.13711324158395E-04,1.13711324158396E-04,1.13711324158395E-04,1.13711324158396E-04
2021-01-10 09:00,1.19172874798872E-04,1.19172874798873E-04,1.19172874798872E-04,1.19172874798873E-04
2021-01-10 10:00,1.24784336997789E-04,1.24784336997791E-04,1.24784336997790E-04,1.24784336997790E-04
2021-01-10 11:00,1.26644603154808E-04,1.26644603154809E-04,1.26644603154808E-04,1.26644603154808E-04
2021-01-10 12:00,1.27533851262833E-04,1.27533851262834E-04,1.27533851262833E-04,1.27533851262834E-04
2021-01-10 13:00,1.21707742968875E-04,1.21707742968876E-04,1.21707742968875E-04,1.21707742968875E-04
2021-01-10 14:00,1.18440352411035E-04,1.18440352411036E-04,1.18440352411035E-04,1.18440352411036E-04
2021-01-10 15:00,1.14740262582240E-04,1.14740262582241E-04,1.14740262582241E-04,1.14740262582241E-04
2021-01-10 16:00,1.19005927836062E-04,1.19005927836063E-04,1.19005927836063E-04,1.19005927836063E-04
2021-01-10 17:00,1.13711324158395E-04,1.13711324158396E-04,1.13711324158395E-04,1.13711324158396E-04
2021-01-10 18:00,1.17377343178453E-04,1.17377343178454E-04,1.17377343178453E-04,1.17377343178454E-04
2021-01-10 19:00,1.39632395445199E-04,1.39632395445200E-04,1.39632395445199E-04,1.39632395445200E-04
2021-01-10 20:00,1.54020497974664E-04,1.54020497974665E-04,1.54020497974664E-04,1.54020497974665E-04
2021-01-10 21:00,1.50197753234418E-04,1.50197753234419E-04,1.50197753234418E-04,1.50197753234419E-04
2021-01-10 22:00,1.37284916723247E-04,1.37284916723248E-04,1.37284916723247E-04,1.37284916723248E-04
2021-01-10 23:00,1.17114997951181E-04,1.17114997951182E-04,1.17114997951181E-04,1.17114997951182E-04
2021-01-11 00:00,1.02352116525613E-04,1.02352116525614E-04,1.02352116525614E-04,1.02352116525614E-04
2021-01-11 01:00,9.56026893148933E-05,9.56026893148942E-05,9.56026893148936E-05,9.56026893148940E-05
2021-01-11 02:00,9.02740148284894E-05,9.02740148284903E-05,9.02740148284897E-05,9.02740148284901E-05
2021-01-11 03:00,8.69725534619131E-05,8.69725534619139E-05,8.69725534619133E-05,8.69725534619137E-05
2021-01-11 04:00,8.72348986891849E-05,8.72348986891857E-05,8.72348986891851E-05,8.72348986891856E-05
2021-01-11 05:00,9.13506523845659E-05,9.13506523845668E-05,9.13506523845662E-05,9.13506523845666E-05
2021-01-11 06:00,9.93777349229084E-05,9.93777349229093E-05,9.93777349229086E-05,9.93777349229091E-05
2021-01-11 07:00,1.10607473482491E-04,1.10607473482492E-04,1.10607473482491E-04,1.10607473482492E-04
2021-01-11 08:00,1.16784511106436E-04,1.16784511106437E-04,1.16784511106436E-04,1.16784511106437E-04
2021-01-11 09:00,1.25268142481849E-04,1.25268142481850E-04,1.25268142481849E-04,1.25268142481850E-04
2021-01-11 10:00,1.24058628771700E-04,1.24058628771701E-04,1.24058628771700E-04,1.24058628771701E-04
2021-01-11 11:00,1.23912124294132E-04,1.23912124294134E-04,1.23912124294133E-04,1.23912124294133E-04
