timeindex,CR-hydro-ror-profile,NR-hydro-ror-profile,WR-hydro-ror-profile,ER-hydro-ror-profile
2021-01-01 00:00,0.307065,0.672641,0.001588,0.627375
2021-01-01 01:00,0.308234,0.674397,0.001641,0.628948
2021-01-01 02:00,0.309404,0.676152,0.001694,0.63052
2021-01-01 03:00,0.310575,0.677906,0.001748,0.632091
2021-01-01 04:00,0.311746,0.679658,0.001803,0.633663
2021-01-01 05:00,0.312917,0.681409,0.001859,0.635234
2021-01-01 06:00,0.314089,0.683158,0.001916,0.636804
2021-01-01 07:00,0.315496,0.685255,0.001985,0.638688
2021-01-01 08:00,0.316903,0.687349,0.002055,0.640571
2021-01-01 09:00,0.318312,0.689442,0.002126,0.642454
2021-01-01 10:00,0.319721,0.691532,0.002199,0.644336
2021-01-01 11:00,0.32113,0.693621,0.002273,0.646217
2021-01-01 12:00,0.322541,0.695707,0.002347,0.648098
2021-01-01 13:00,0.324853,0.699121,0.002472,0.651179
2021-01-01 14:00,0.327168,0.702529,0.0026,0.654259
2021-01-01 15:00,0.329484,0.705931,0.002731,0.657337
2021-01-01 16:00,0.331802,0.709328,0.002865,0.660413
2021-01-01 17:00,0.334121,0.712718,0.003002,0.663488
2021-01-01 18:00,0.336442,0.716103,0.003141,0.666561
2021-01-01 19:00,0.338764,0.719482,0.003284,0.669632
2021-01-01 20:00,0.341088,0.722854,0.00343,0.672701
2021-01-01 21:00,0.343414,0.726221,0.003578,0.675769
2021-01-01 22:00,0.345741,0.729582,0.003729,0.678836
2021-01-01 23:00,0.348069,0.732937,0.003884,0.6819
2021-01-02 00:00,0.350399,0.736287,0.004041,0.684963
2021-01-02 01:00,0.353125,0.740196,0.004228,0.688543
2021-01-02 02:00,0.355854,0.744097,0.004419,0.692121
2021-01-02 03:00,0.358584,0.74799,0.004614,0.695697
2021-01-02 04:00,0.361316,0.751875,0.004812,0.69927
2021-01-02 05:00,0.364049,0.755752,0.005015,0.702841
2021-01-02 06:00,0.366784,0.759621,0.005221,0.70641
2021-01-02 07:00,0.369521,0.763481,0.005431,0.709976
2021-01-02 08:00,0.37226,0.767334,0.005645,0.71354
2021-01-02 09:00,0.375,0.771178,0.005862,0.717101
2021-01-02 10:00,0.377741,0.775014,0.006083,0.720661
2021-01-02 11:00,0.380484,0.778842,0.006307,0.724219
2021-01-02 12:00,0.383229,0.782662,0.006535,0.727774
2021-01-02 13:00,0.385974,0.786474,0.006767,0.731327
2021-01-02 14:00,0.388722,0.790277,0.007002,0.734877
2021-01-02 15:00,0.39147,0.794073,0.007241,0.738425
2021-01-02 16:00,0.39422,0.79786,0.007483,0.741971
2021-01-02 17:00,0.396971,0.801639,0.007729,0.745515
2021-01-02 18:00,0.399723,0.80541,0.007978,0.749057
2021-01-02 19:00,0.402477,0.809173,0.008231,0.752596
2021-01-02 20:00,0.405231,0.812928,0.008487,0.756133
2021-01-02 21:00,0.407987,0.816675,0.008747,0.759667
2021-01-02 22:00,0.410744,0.820413,0.009009,0.7632
2021-01-02 23:00,0.413502,0.824144,0.009276,0.76673
2021-01-03 00:00,0.41626,0.827866,0.009545,0.770258
2021-01-03 01:00,0.41946,0.832172,0.009862,0.774346
2021-01-03 02:00,0.422661,0.836467,0.010183,0.77843
2021-01-03 03:00,0.425863,0.840751,0.010508,0.782511
2021-01-03 04:00,0.429067,0.845024,0.010838,0.78659
2021-01-03 05:00,0.432271,0.849287,0.011172,0.790665
2021-01-03 06:00,0.435477,0.853538,0.011511,0.794737
2021-01-03 07:00,0.43716,0.855766,0.01169,0.796874
2021-01-03 08:00,0.438844,0.857991,0.011871,0.79901
2021-01-03 09:00,0.440528,0.860212,0.012053,0.801145
2021-01-03 10:00,0.442213,0.862431,0.012235,0.803279
2021-01-03 11:00,0.443897,0.864647,0.012419,0.805412
2021-01-03 12:00,0.445582,0.86686,0.012605,0.807545
2021-01-03 13:00,0.446705,0.868333,0.012729,0.808966
2021-01-03 14:00,0.447828,0.869806,0.012853,0.810387
2021-01-03 15:00,0.448952,0.871277,0.012978,0.811808
2021-01-03 16:00,0.450075,0.872746,0.013104,0.813228
2021-01-03 17:00,0.451199,0.874215,0.01323,0.814647
2021-01-03 18:00,0.452323,0.875682,0.013357,0.816067
2021-01-03 19:00,0.452612,0.876059,0.013389,0.816432
2021-01-03 20:00,0.452901,0.876436,0.013422,0.816797
2021-01-03 21:00,0.45319,0.876813,0.013455,0.817162
2021-01-03 22:00,0.453479,0.877189,0.013488,0.817527
2021-01-03 23:00,0.453768,0.877566,0.01352,0.817891
2021-01-04 00:00,0.454057,0.877943,0.013553,0.818256
2021-01-04 01:00,0.454201,0.878131,0.01357,0.818438
2021-01-04 02:00,0.454346,0.878319,0.013586,0.818621
2021-01-04 03:00,0.454491,0.878507,0.013602,0.818803
2021-01-04 04:00,0.454635,0.878695,0.013619,0.818985
2021-01-04 05:00,0.45478,0.878884,0.013635,0.819168
2021-01-04 06:00,0.454924,0.879072,0.013652,0.81935
2021-01-04 07:00,0.455342,0.879615,0.013699,0.819877
2021-01-04 08:00,0.455759,0.880158,0.013747,0.820404
2021-01-04 09:00,0.456177,0.880701,0.013795,0.82093
2021-01-04 10:00,0.456594,0.881244,0.013843,0.821457
2021-01-04 11:00,0.457012,0.881787,0.01389,0.821984
2021-01-04 12:00,0.457429,0.88233,0.013938,0.82251
2021-01-04 13:00,0.45759,0.882538,0.013957,0.822713
2021-01-04 14:00,0.457751,0.882747,0.013975,0.822915
2021-01-04 15:00,0.457911,0.882955,0.013994,0.823118
2021-01-04 16:00,0.457879,0.882914,0.01399,0.823077
2021-01-04 17:00,0.457847,0.882872,0.013986,0.823037
2021-01-04 18:00,0.457815,0.88283,0.013983,0.822996
2021-01-04 19:00,0.457606,0.882559,0.013959,0.822733
2021-01-04 20:00,0.457397,0.882288,0.013935,0.82247
2021-01-04 21:00,0.457189,0.882017,0.013911,0.822206
2021-01-04 22:00,0.45698,0.881745,0.013887,0.821944
2021-01-04 23:00,0.456771,0.881474,0.013863,0.82168
2021-01-05 00:00,0.456562,0.881203,0.013839,0.821417
2021-01-05 01:00,0.456369,0.880952,0.013817,0.821174
2021-01-05 02:00,0.456177,0.880701,0.013795,0.82093
