region,name,type,carrier,tech,from_bus,to_bus,capacity,capacity_cost,efficiency,carrier_cost,marginal_cost,expandable,output_parameters
CR,CR-fuel_oil-gt,conversion,oil,gt,CR-fuel-oil,CR-electricity,1102,43321,0.4,37.9314,43.95,False,{}
NR,NR-fuel_oil-gt,conversion,oil,gt,NR-fuel-oil,NR-electricity,1052,43321,0.4,37.9314,43.95,False,{}
WR,WR-fuel_oil-gt,conversion,oil,gt,WR-fuel-oil,WR-electricity,1052,43321,0.4,37.9314,43.95,False,{}
ER,ER-fuel_oil-gt,conversion,oil,gt,ER-fuel-oil,ER-electricity,1094,43321,0.4,37.9314,43.95,False,{}
