region,name,type,carrier,tech,from_bus,to_bus,capacity,capacity_cost,efficiency,carrier_cost,marginal_cost,expandable,output_parameters
CR,CR-peat-st,conversion,peat,st,CR-peat,CR-electricity,200,140598,0.4,14.3,24.82,False,{}
NR,NR-peat-st,conversion,peat,st,NR-peat,NR-electricity,200,140598,0.4,14.3,24.82,False,{}
WR,WR-peat-st,conversion,peat,st,WR-peat,WR-electricity,200,140598,0.4,14.3,24.82,False,{}
ER,ER-peat-st,conversion,peat,st,ER-peat,ER-electricity,200,140598,0.4,14.3,24.82,False,{}
