region,name,type,carrier,tech,from_bus,to_bus,from_to_capacity,to_from_capacity,loss
CR_NR,CR-NR-electricity-transmission,link,electricity,transmission,CR-electricity,NR-electricity,0,0,0.025
ER_NR,ER-NR-electricity-transmission,link,electricity,transmission,ER-electricity,NR-electricity,466,466,0.025
ER_CR,ER-CR-electricity-transmission,link,electricity,transmission,ER-electricity,CR-electricity,556,556,0.025
WR_CR,WR-CR-electricity-transmission,link,electricity,transmission,WR-electricity,CR-electricity,749,749,0.025
WR_NR,WR-NR-electricity-transmission,link,electricity,transmission,WR-electricity,NR-electricity,780,780,0.025
