region,name,type,carrier,tech,bus,capacity,capacity_cost,marginal_cost,profile,output_parameters
CR,CR-solar-pv,volatile,solar,pv,CR-electricity,846,76240,0.47232,CR-solar-pv-profile,{}
NR,NR-solar-pv,volatile,solar,pv,NR-electricity,1410,76240,0.47232,NR-solar-pv-profile,{}
WR,WR-solar-pv,volatile,solar,pv,WR-electricity,1123,76240,0.47232,WR-solar-pv-profile,{}
ER,ER-solar-pv,volatile,solar,pv,ER-electricity,1620,76240,0.47232,ER-solar-pv-profile,{}
