region,name,type,carrier,tech,from_bus,to_bus,capacity,capacity_cost,efficiency,carrier_cost,marginal_cost,expandable,output_parameters
CR,CR-fuel_oil-gt,conversion,oil,gt,CR-fuel-oil,CR-electricity,1102,,0.5,0.091,0.0045,False,{}
NR,NR-fuel_oil-gt,conversion,oil,gt,NR-fuel-oil,NR-electricity,1052,,0.5,0.091,0.0045,False,{}
WR,WR-fuel_oil-gt,conversion,oil,gt,WR-fuel-oil,WR-electricity,1052,,0.5,0.091,0.0045,False,{}
ER,ER-fuel_oil-gt,conversion,oil,gt,ER-fuel-oil,ER-electricity,1094,,0.5,0.091,0.0045,False,{}
