region,name,type,carrier,tech,bus,capacity,capacity_cost,marginal_cost,profile,output_parameters
CR,CR-hydro-ror,volatile,hydro,pv,CR-electricity,0,216105,3.2362,CR-hydro-ror-profile,{}
NR,NR-hydro-ror,volatile,hydro,pv,NR-electricity,2626,216105,3.2362,NR-hydro-ror-profile,{}
WR,WR-hydro-ror,volatile,hydro,pv,WR-electricity,956,216105,3.2362,WR-hydro-ror-profile,{}
ER,ER-hydro-ror,volatile,hydro,pv,ER-electricity,918,216105,3.2362,ER-hydro-ror-profile,{}
