region,name,type,balanced
CR,CR-electricity,bus,True
CR,CR-fuel-oil,bus,False
CR,CR-charcoal,bus,False
CR,CR-biomass,bus,False
CR,CR-geothermal,bus,False
CR,CR-nuclear,bus,False
CR,CR-heat,bus,True
CR,CR-h2,bus,True
NR,NR-electricity,bus,True
NR,NR-fuel-oil,bus,False
NR,NR-charcoal,bus,False
NR,NR-biomass,bus,False
NR,NR-geothermal,bus,False
NR,NR-nuclear,bus,False
NR,NR-heat,bus,True
NR,NR-h2,bus,True
WR,WR-electricity,bus,True
WR,WR-fuel-oil,bus,False
WR,WR-charcoal,bus,False
WR,WR-biomass,bus,False
WR,WR-geothermal,bus,False
WR,WR-nuclear,bus,False
WR,WR-heat,bus,True
WR,WR-h2,bus,True
ER,ER-electricity,bus,True
ER,ER-fuel-oil,bus,False
ER,ER-charcoal,bus,False
ER,ER-biomass,bus,False
ER,ER-geothermal,bus,False
ER,ER-nuclear,bus,False
ER,ER-heat,bus,True
ER,ER-h2,bus,True
