region,name,type,carrier,tech,bus,amount,profile
CR,CR-electricity-demand,load,electricity,demand,CR-electricity,4246994,CR-electricity-demand-profile
NR,NR-electricity-demand,load,electricity,demand,NR-electricity,3203616,NR-electricity-demand-profile
WR,WR-electricity-demand,load,electricity,demand,WR-electricity,3955356,WR-electricity-demand-profile
ER,ER-electricity-demand,load,electricity,demand,ER-electricity,4030034,ER-electricity-demand-profile
