region,name,type,tech,carrier,carrier_cost,electric_efficiency,electricity_bus,expandable,fuel_bus,heat_bus,capacity,capacity_cost,marginal_cost,thermal_efficiency
CR,CR-geothermal-st,backpressure,st,geothermal,,0.52,CR-electricity,FALSE,CR-geothermal,CR-heat,0,96413.1590651,4,0.34
NR,NR-geothermal-st,backpressure,st,geothermal,,0.52,NR-electricity,FALSE,NR-geothermal,NR-heat,300,96413.1590651,4,0.34
WR,WR-geothermal-st,backpressure,st,geothermal,,0.52,WR-electricity,FALSE,WR-geothermal,WR-heat,1200,96413.1590651,4,0.34
ER,ER-geothermal-st,backpressure,st,geothermal,,0.52,ER-electricity,FALSE,ER-geothermal,ER-heat,0,96413.1590651,4,0.34
