region,name,type,carrier,tech,from_bus,to_bus,capacity,capacity_cost,efficiency,carrier_cost,marginal_cost,expandable,output_parameters
CR,CR-nuclear-st,conversion,uranium,st,CR-nuclear,CR-electricity,6000,325210,0.33,3.398,16.516,False,{}
NR,NR-nuclear-st,conversion,uranium,st,NR-nuclear,NR-electricity,6000,325210,0.33,3.398,16.516,False,{}
WR,WR-nuclear-st,conversion,uranium,st,WR-nuclear,WR-electricity,6000,325210,0.33,3.398,16.516,False,{}
ER,ER-nuclear-st,conversion,uranium,st,ER-nuclear,ER-electricity,6000,325210,0.33,3.398,16.516,False,{}
