region,name,type,carrier,tech,bus,capacity,marginal_cost,output_parameters
CR,CR-electricity-curtailment,excess,electricity,curtailment,CR-electricity,,0,{}
NR,NR-electricity-curtailment,excess,electricity,curtailment,NR-electricity,,0,{}
