region,name,type,carrier,tech,from_bus,to_bus,capacity,capacity_cost,efficiency,carrier_cost,marginal_cost,expandable,output_parameters
CR,CR-ch4-gt,conversion,ch4,gt,CR-ch4,CR-electricity,1600000,,0.619,0.021,0.0045,False,{}
NR,NR-ch4-gt,conversion,ch4,gt,NR-ch4,NR-electricity,400000,,0.619,0.021,0.0045,False,{}
