region,name,type,carrier,tech,bus,capacity,capacity_cost,marginal_cost,profile,output_parameters
CR,CR-wind-onshore,volatile,wind,onshore,CR-electricity,0,,0,CR-wind-onshore-profile,{}
NR,NR-wind-onshore,volatile,wind,onshore,NR-electricity,10700000,,0,NR-wind-onshore-profile,{}
