timeindex,CR-electricity-demand-profile,NR-electricity-demand-profile,WR-electricity-demand-profile,ER-electricity-demand-profile
2019-01-01 00:00:00,9.85825788699654E-05,9.85825788699645E-05,9.85825788699648E-05,9.85825788699652E-05
2019-01-01 01:00:00,9.07072862650191E-05,9.07072862650183E-05,9.07072862650185E-05,9.07072862650189E-05
2019-01-01 02:00:00,8.32204762896548E-05,8.32204762896540E-05,8.32204762896543E-05,8.32204762896547E-05
2019-01-01 03:00:00,7.93322422514707E-05,7.93322422514699E-05,7.93322422514701E-05,7.93322422514705E-05
2019-01-01 04:00:00,7.60096934458356E-05,7.60096934458349E-05,7.60096934458351E-05,7.60096934458354E-05
2019-01-01 05:00:00,7.16511909613154E-05,7.16511909613147E-05,7.16511909613149E-05,7.16511909613152E-05
2019-01-01 06:00:00,7.90800693164789E-05,7.90800693164781E-05,7.90800693164783E-05,7.90800693164787E-05
2019-01-01 07:00:00,8.52753449356014E-05,8.52753449356006E-05,8.52753449356009E-05,8.52753449356012E-05
2019-01-01 08:00:00,9.26735536094821E-05,9.26735536094813E-05,9.26735536094815E-05,9.26735536094819E-05
2019-01-01 09:00:00,9.81089026812646E-05,9.81089026812637E-05,9.81089026812639E-05,9.81089026812644E-05
2019-01-01 10:00:00,1.01032745630223E-04,1.01032745630222E-04,1.01032745630223E-04,1.01032745630223E-04
2019-01-01 11:00:00,1.01850603797764E-04,1.01850603797763E-04,1.01850603797764E-04,1.01850603797764E-04
2019-01-01 12:00:00,1.07493825153797E-04,1.07493825153796E-04,1.07493825153796E-04,1.07493825153797E-04
2019-01-01 13:00:00,1.02412881287949E-04,1.02412881287948E-04,1.02412881287948E-04,1.02412881287949E-04
2019-01-01 14:00:00,1.02300425789912E-04,1.02300425789911E-04,1.02300425789911E-04,1.02300425789912E-04
2019-01-01 15:00:00,9.62380521230147E-05,9.62380521230138E-05,9.62380521230141E-05,9.62380521230145E-05
2019-01-01 16:00:00,9.55156107416869E-05,9.55156107416860E-05,9.55156107416863E-05,9.55156107416867E-05
2019-01-01 17:00:00,9.77238277940474E-05,9.77238277940465E-05,9.77238277940468E-05,9.77238277940472E-05
2019-01-01 18:00:00,1.01969874780531E-04,1.01969874780530E-04,1.01969874780530E-04,1.01969874780531E-04
2019-01-01 19:00:00,1.25605975822464E-04,1.25605975822463E-04,1.25605975822463E-04,1.25605975822463E-04
2019-01-01 20:00:00,1.33856120087533E-04,1.33856120087532E-04,1.33856120087532E-04,1.33856120087533E-04
2019-01-01 21:00:00,1.30080341547386E-04,1.30080341547384E-04,1.30080341547385E-04,1.30080341547385E-04
2019-01-01 22:00:00,1.18102127135276E-04,1.18102127135275E-04,1.18102127135275E-04,1.18102127135275E-04
2019-01-01 23:00:00,1.00385274580920E-04,1.00385274580919E-04,1.00385274580920E-04,1.00385274580920E-04
2019-01-02 00:00:00,8.70098857992612E-05,8.70098857992604E-05,8.70098857992606E-05,8.70098857992610E-05
2019-01-02 01:00:00,7.99217816805731E-05,7.99217816805723E-05,7.99217816805725E-05,7.99217816805729E-05
2019-01-02 02:00:00,7.46636352117578E-05,7.46636352117571E-05,7.46636352117573E-05,7.46636352117576E-05
2019-01-02 03:00:00,7.37367292885447E-05,7.37367292885441E-05,7.37367292885443E-05,7.37367292885446E-05
2019-01-02 04:00:00,7.25849123692579E-05,7.25849123692572E-05,7.25849123692575E-05,7.25849123692578E-05
2019-01-02 05:00:00,7.41149886910324E-05,7.41149886910317E-05,7.41149886910319E-05,7.41149886910323E-05
2019-01-02 06:00:00,8.12371702333681E-05,8.12371702333673E-05,8.12371702333675E-05,8.12371702333679E-05
2019-01-02 07:00:00,9.30756672085231E-05,9.30756672085222E-05,9.30756672085225E-05,9.30756672085229E-05
2019-01-02 08:00:00,1.07173497371510E-04,1.07173497371509E-04,1.07173497371509E-04,1.07173497371510E-04
2019-01-02 09:00:00,1.18688258822013E-04,1.18688258822012E-04,1.18688258822013E-04,1.18688258822013E-04
2019-01-02 10:00:00,1.20402353231485E-04,1.20402353231483E-04,1.20402353231484E-04,1.20402353231484E-04
2019-01-02 11:00:00,1.20392130004390E-04,1.20392130004389E-04,1.20392130004390E-04,1.20392130004390E-04
2019-01-02 12:00:00,1.22184602488251E-04,1.22184602488250E-04,1.22184602488250E-04,1.22184602488251E-04
2019-01-02 13:00:00,1.18691666564378E-04,1.18691666564377E-04,1.18691666564377E-04,1.18691666564378E-04
2019-01-02 14:00:00,1.15328224850366E-04,1.15328224850365E-04,1.15328224850365E-04,1.15328224850366E-04
2019-01-02 15:00:00,1.15219177094694E-04,1.15219177094693E-04,1.15219177094693E-04,1.15219177094694E-04
2019-01-02 16:00:00,1.18630327201813E-04,1.18630327201811E-04,1.18630327201812E-04,1.18630327201812E-04
2019-01-02 17:00:00,1.16088151397706E-04,1.16088151397705E-04,1.16088151397705E-04,1.16088151397706E-04
2019-01-02 18:00:00,1.17164997984968E-04,1.17164997984967E-04,1.17164997984968E-04,1.17164997984968E-04
2019-01-02 19:00:00,1.40194520885975E-04,1.40194520885974E-04,1.40194520885974E-04,1.40194520885975E-04
2019-01-02 20:00:00,1.48655945177659E-04,1.48655945177658E-04,1.48655945177658E-04,1.48655945177659E-04
2019-01-02 21:00:00,1.40780652572713E-04,1.40780652572712E-04,1.40780652572712E-04,1.40780652572713E-04
2019-01-02 22:00:00,1.28584342649259E-04,1.28584342649257E-04,1.28584342649258E-04,1.28584342649258E-04
2019-01-02 23:00:00,1.12339634796477E-04,1.12339634796476E-04,1.12339634796476E-04,1.12339634796477E-04
2019-01-03 00:00:00,9.90085466655596E-05,9.90085466655587E-05,9.90085466655590E-05,9.90085466655594E-05
2019-01-03 01:00:00,9.28507562124494E-05,9.28507562124485E-05,9.28507562124487E-05,9.28507562124491E-05
2019-01-03 02:00:00,8.75006006997857E-05,8.75006006997849E-05,8.75006006997851E-05,8.75006006997855E-05
2019-01-03 03:00:00,8.37248221596384E-05,8.37248221596376E-05,8.37248221596379E-05,8.37248221596382E-05
2019-01-03 04:00:00,8.39020247626056E-05,8.39020247626048E-05,8.39020247626051E-05,8.39020247626054E-05
2019-01-03 05:00:00,8.65941412307612E-05,8.65941412307604E-05,8.65941412307606E-05,8.65941412307610E-05
2019-01-03 06:00:00,9.64970405427360E-05,9.64970405427351E-05,9.64970405427354E-05,9.64970405427358E-05
2019-01-03 07:00:00,1.04045189880666E-04,1.04045189880665E-04,1.04045189880665E-04,1.04045189880666E-04
2019-01-03 08:00:00,1.14213893097092E-04,1.14213893097090E-04,1.14213893097091E-04,1.14213893097091E-04
2019-01-03 09:00:00,1.19216458888550E-04,1.19216458888549E-04,1.19216458888549E-04,1.19216458888550E-04
2019-01-03 10:00:00,1.20388722262026E-04,1.20388722262024E-04,1.20388722262025E-04,1.20388722262025E-04
2019-01-03 11:00:00,1.20777204891608E-04,1.20777204891606E-04,1.20777204891607E-04,1.20777204891607E-04
2019-01-03 12:00:00,1.19898007361501E-04,1.19898007361500E-04,1.19898007361500E-04,1.19898007361501E-04
2019-01-03 13:00:00,1.22767326432624E-04,1.22767326432623E-04,1.22767326432623E-04,1.22767326432623E-04
2019-01-03 14:00:00,1.20613633258099E-04,1.20613633258098E-04,1.20613633258099E-04,1.20613633258099E-04
2019-01-03 15:00:00,1.17587558038198E-04,1.17587558038197E-04,1.17587558038197E-04,1.17587558038198E-04
2019-01-03 16:00:00,1.18568987839247E-04,1.18568987839246E-04,1.18568987839246E-04,1.18568987839247E-04
2019-01-03 17:00:00,1.19962754466431E-04,1.19962754466430E-04,1.19962754466431E-04,1.19962754466431E-04
2019-01-03 18:00:00,1.27405263791054E-04,1.27405263791053E-04,1.27405263791053E-04,1.27405263791054E-04
2019-01-03 19:00:00,1.49671452402356E-04,1.49671452402354E-04,1.49671452402355E-04,1.49671452402355E-04
2019-01-03 20:00:00,1.55692933160876E-04,1.55692933160874E-04,1.55692933160875E-04,1.55692933160876E-04
2019-01-03 21:00:00,1.50656289945770E-04,1.50656289945768E-04,1.50656289945769E-04,1.50656289945769E-04
2019-01-03 22:00:00,1.35116984762492E-04,1.35116984762491E-04,1.35116984762491E-04,1.35116984762492E-04
2019-01-03 23:00:00,1.13225647811313E-04,1.13225647811312E-04,1.13225647811312E-04,1.13225647811313E-04
2019-01-04 00:00:00,1.01008891433670E-04,1.01008891433669E-04,1.01008891433669E-04,1.01008891433670E-04
2019-01-04 01:00:00,9.52906997456131E-05,9.52906997456122E-05,9.52906997456125E-05,9.52906997456129E-05
2019-01-04 02:00:00,9.13888347379699E-05,9.13888347379691E-05,9.13888347379693E-05,9.13888347379697E-05
2019-01-04 03:00:00,8.90102305673717E-05,8.90102305673709E-05,8.90102305673711E-05,8.90102305673715E-05
2019-01-04 04:00:00,8.86115247106955E-05,8.86115247106946E-05,8.86115247106949E-05,8.86115247106953E-05
2019-01-04 05:00:00,8.97599338876176E-05,8.97599338876167E-05,8.97599338876170E-05,8.97599338876173E-05
2019-01-04 06:00:00,9.39957576470066E-05,9.39957576470058E-05,9.39957576470060E-05,9.39957576470064E-05
2019-01-04 07:00:00,1.06372677915793E-04,1.06372677915792E-04,1.06372677915792E-04,1.06372677915793E-04
2019-01-04 08:00:00,1.16916232792341E-04,1.16916232792340E-04,1.16916232792341E-04,1.16916232792341E-04
2019-01-04 09:00:00,1.28117481945287E-04,1.28117481945286E-04,1.28117481945287E-04,1.28117481945287E-04
2019-01-04 10:00:00,1.28478702635951E-04,1.28478702635950E-04,1.28478702635950E-04,1.28478702635951E-04
2019-01-04 11:00:00,1.24225840164738E-04,1.24225840164737E-04,1.24225840164738E-04,1.24225840164738E-04
2019-01-04 12:00:00,1.22654870934587E-04,1.22654870934586E-04,1.22654870934586E-04,1.22654870934587E-04
2019-01-04 13:00:00,1.25159561572681E-04,1.25159561572680E-04,1.25159561572680E-04,1.25159561572681E-04
2019-01-04 14:00:00,1.26747569514656E-04,1.26747569514655E-04,1.26747569514655E-04,1.26747569514656E-04
2019-01-04 15:00:00,1.25997866194410E-04,1.25997866194409E-04,1.25997866194410E-04,1.25997866194410E-04
2019-01-04 16:00:00,1.23189886485853E-04,1.23189886485852E-04,1.23189886485852E-04,1.23189886485853E-04
2019-01-04 17:00:00,1.25319725463824E-04,1.25319725463823E-04,1.25319725463824E-04,1.25319725463824E-04
2019-01-04 18:00:00,1.26948626314177E-04,1.26948626314176E-04,1.26948626314176E-04,1.26948626314176E-04
2019-01-04 19:00:00,1.49071689746159E-04,1.49071689746158E-04,1.49071689746158E-04,1.49071689746159E-04
2019-01-04 20:00:00,1.54851220796782E-04,1.54851220796780E-04,1.54851220796781E-04,1.54851220796781E-04
2019-01-04 21:00:00,1.48897894885557E-04,1.48897894885555E-04,1.48897894885556E-04,1.48897894885556E-04
2019-01-04 22:00:00,1.36606168175889E-04,1.36606168175888E-04,1.36606168175888E-04,1.36606168175889E-04
2019-01-04 23:00:00,1.17188852181522E-04,1.17188852181521E-04,1.17188852181521E-04,1.17188852181521E-04
2019-01-05 00:00:00,1.02205009003699E-04,1.02205009003698E-04,1.02205009003698E-04,1.02205009003699E-04
2019-01-05 01:00:00,9.42445228396337E-05,9.42445228396328E-05,9.42445228396331E-05,9.42445228396335E-05
2019-01-05 02:00:00,9.04244436487446E-05,9.04244436487437E-05,9.04244436487440E-05,9.04244436487444E-05
2019-01-05 03:00:00,9.01007081240929E-05,9.01007081240921E-05,9.01007081240923E-05,9.01007081240928E-05
2019-01-05 04:00:00,8.84718072737406E-05,8.84718072737398E-05,8.84718072737400E-05,8.84718072737404E-05
2019-01-05 05:00:00,9.14229121616174E-05,9.14229121616166E-05,9.14229121616168E-05,9.14229121616172E-05
2019-01-05 06:00:00,9.71990354698753E-05,9.71990354698744E-05,9.71990354698747E-05,9.71990354698751E-05
2019-01-05 07:00:00,1.04951649349690E-04,1.04951649349689E-04,1.04951649349690E-04,1.04951649349690E-04
2019-01-05 08:00:00,1.15757600388325E-04,1.15757600388324E-04,1.15757600388324E-04,1.15757600388325E-04
2019-01-05 09:00:00,1.25663907442665E-04,1.25663907442663E-04,1.25663907442664E-04,1.25663907442664E-04
2019-01-05 10:00:00,1.24420081479529E-04,1.24420081479528E-04,1.24420081479529E-04,1.24420081479529E-04
2019-01-05 11:00:00,1.26713492091009E-04,1.26713492091008E-04,1.26713492091008E-04,1.26713492091008E-04
2019-01-05 12:00:00,1.22988829686333E-04,1.22988829686332E-04,1.22988829686332E-04,1.22988829686333E-04
2019-01-05 13:00:00,1.19778736378735E-04,1.19778736378733E-04,1.19778736378734E-04,1.19778736378734E-04
2019-01-05 14:00:00,1.17935147759403E-04,1.17935147759402E-04,1.17935147759402E-04,1.17935147759402E-04
2019-01-05 15:00:00,1.17846546457919E-04,1.17846546457918E-04,1.17846546457918E-04,1.17846546457919E-04
2019-01-05 16:00:00,1.16418702407087E-04,1.16418702407086E-04,1.16418702407086E-04,1.16418702407087E-04
2019-01-05 17:00:00,1.09906506748043E-04,1.09906506748042E-04,1.09906506748042E-04,1.09906506748042E-04
2019-01-05 18:00:00,1.15014712552809E-04,1.15014712552808E-04,1.15014712552808E-04,1.15014712552808E-04
2019-01-05 19:00:00,1.41114611324459E-04,1.41114611324457E-04,1.41114611324458E-04,1.41114611324458E-04
2019-01-05 20:00:00,1.52452170171995E-04,1.52452170171993E-04,1.52452170171994E-04,1.52452170171995E-04
2019-01-05 21:00:00,1.49037612322512E-04,1.49037612322510E-04,1.49037612322511E-04,1.49037612322511E-04
2019-01-05 22:00:00,1.34057176887053E-04,1.34057176887052E-04,1.34057176887053E-04,1.34057176887053E-04
2019-01-05 23:00:00,1.16067704943518E-04,1.16067704943517E-04,1.16067704943517E-04,1.16067704943517E-04
2019-01-06 00:00:00,1.01939205099248E-04,1.01939205099247E-04,1.01939205099247E-04,1.01939205099248E-04
2019-01-06 01:00:00,9.32324233573018E-05,9.32324233573009E-05,9.32324233573011E-05,9.32324233573016E-05
2019-01-06 02:00:00,9.04278513911093E-05,9.04278513911085E-05,9.04278513911087E-05,9.04278513911091E-05
2019-01-06 03:00:00,8.82571195047611E-05,8.82571195047602E-05,8.82571195047605E-05,8.82571195047609E-05
2019-01-06 04:00:00,8.81753336880070E-05,8.81753336880062E-05,8.81753336880064E-05,8.81753336880068E-05
2019-01-06 05:00:00,8.68667606199415E-05,8.68667606199407E-05,8.68667606199409E-05,8.68667606199413E-05
2019-01-06 06:00:00,9.14297276463470E-05,9.14297276463461E-05,9.14297276463464E-05,9.14297276463468E-05
2019-01-06 07:00:00,9.54815333180393E-05,9.54815333180384E-05,9.54815333180387E-05,9.54815333180391E-05
2019-01-06 08:00:00,9.71615503038630E-05,9.71615503038621E-05,9.71615503038624E-05,9.71615503038628E-05
2019-01-06 09:00:00,9.72944522560884E-05,9.72944522560875E-05,9.72944522560878E-05,9.72944522560882E-05
2019-01-06 10:00:00,1.00269411340519E-04,1.00269411340518E-04,1.00269411340518E-04,1.00269411340518E-04
2019-01-06 11:00:00,1.02399250318490E-04,1.02399250318489E-04,1.02399250318489E-04,1.02399250318490E-04
2019-01-06 12:00:00,1.03912287928440E-04,1.03912287928440E-04,1.03912287928440E-04,1.03912287928440E-04
2019-01-06 13:00:00,1.08959154370641E-04,1.08959154370640E-04,1.08959154370640E-04,1.08959154370641E-04
2019-01-06 14:00:00,1.08519555605588E-04,1.08519555605587E-04,1.08519555605587E-04,1.08519555605587E-04
2019-01-06 15:00:00,1.04597244143756E-04,1.04597244143755E-04,1.04597244143755E-04,1.04597244143756E-04
2019-01-06 16:00:00,1.09385122166235E-04,1.09385122166234E-04,1.09385122166235E-04,1.09385122166235E-04
2019-01-06 17:00:00,1.11198041104284E-04,1.11198041104283E-04,1.11198041104284E-04,1.11198041104284E-04
2019-01-06 18:00:00,1.14803432526194E-04,1.14803432526193E-04,1.14803432526193E-04,1.14803432526194E-04
2019-01-06 19:00:00,1.39294876901680E-04,1.39294876901679E-04,1.39294876901679E-04,1.39294876901680E-04
2019-01-06 20:00:00,1.48655945177659E-04,1.48655945177658E-04,1.48655945177658E-04,1.48655945177659E-04
2019-01-06 21:00:00,1.46079691949905E-04,1.46079691949904E-04,1.46079691949904E-04,1.46079691949905E-04
2019-01-06 22:00:00,1.32172695359345E-04,1.32172695359343E-04,1.32172695359344E-04,1.32172695359344E-04
2019-01-06 23:00:00,1.11716017943727E-04,1.11716017943726E-04,1.11716017943726E-04,1.11716017943727E-04
2019-01-07 00:00:00,9.35493433972239E-05,9.35493433972230E-05,9.35493433972233E-05,9.35493433972237E-05
2019-01-07 01:00:00,8.69689928908841E-05,8.69689928908833E-05,8.69689928908835E-05,8.69689928908839E-05
2019-01-07 02:00:00,8.42768764227285E-05,8.42768764227277E-05,8.42768764227280E-05,8.42768764227284E-05
