region,name,type,tech,carrier,carrier_cost,electric_efficiency,electricity_bus,fuel_bus,heat_bus,capacity,capacity_cost,marginal_cost,expandable,thermal_efficiency
CR,CR-biomass-st,backpressure,st,biomass,1.042,0.25,CR-electricity,CR-biomass,CR-heat,0,210000,8.3052,False,0.50
NR,NR-biomass-st,backpressure,st,biomass,1.042,0.25,NR-electricity,NR-biomass,NR-heat,0,210000,8.3052,False,0.50
WR,WR-biomass-st,backpressure,st,biomass,1.042,0.25,WR-electricity,WR-biomass,WR-heat,15,210000,8.3052,False,0.50
ER,ER-biomass-st,backpressure,st,biomass,1.042,0.25,ER-electricity,ER-biomass,ER-heat,97,210000,8.3052,False,0.50
