name,capacity,capacity_cost,capacity_potential,carrier,carrier_cost,efficiency,expandable,from_bus,marginal_cost,output_parameters,region,tech,to_bus,type
CR-electricity-electrolyzer,0,50625,,electricity,,0.7,False,CR-electricity,1e-06,{},CR,electrolyzer,CR-h2,conversion
NR-electricity-electrolyzer,0,50625,,electricity,,0.7,False,NR-electricity,1e-06,{},NR,electrolyzer,NR-h2,conversion
WR-electricity-electrolyzer,0,50625,,electricity,,0.7,False,WR-electricity,1e-06,{},WR,electrolyzer,WR-h2,conversion
ER-electricity-electrolyzer,0,50625,,electricity,,0.7,False,ER-electricity,1e-06,{},ER,electrolyzer,ER-h2,conversion
