region,name,type,carrier,tech,bus,capacity,capacity_cost,marginal_cost,profile,output_parameters
CR,CR-solar-pv,volatile,solar,pv,CR-electricity,20,60270,0.4723,CR-solar-pv-profile,{}
NR,NR-solar-pv,volatile,solar,pv,NR-electricity,0,60270,0.4723,NR-solar-pv-profile,{}
WR,WR-solar-pv,volatile,solar,pv,WR-electricity,0,60270,0.4723,WR-solar-pv-profile,{}
ER,ER-solar-pv,volatile,solar,pv,ER-electricity,40,60270,0.4723,ER-solar-pv-profile,{}
