region,name,type,carrier,tech,bus,capacity,capacity_cost,marginal_cost,profile,output_parameters
CR,CR-solar-pv,volatile,solar,pv,CR-electricity,20,,0,CR-solar-pv-profile,{}
NR,NR-solar-pv,volatile,solar,pv,NR-electricity,0,,0,NR-solar-pv-profile,{}
WR,WR-solar-pv,volatile,solar,pv,WR-electricity,0,,0,WR-solar-pv-profile,{}
ER,ER-solar-pv,volatile,solar,pv,ER-electricity,40,,0,ER-solar-pv-profile,{}
