region,name,type,carrier,tech,bus,capacity,marginal_cost,output_parameters
CR,CR-electricity-shortage,shortage,electricity,shortage,CR-electricity,,100000,{}
NR,NR-electricity-shortage,shortage,electricity,shortage,NR-electricity,,100000,{}
