region,name,type,carrier,tech,from_bus,to_bus,capacity,capacity_cost,efficiency,carrier_cost,marginal_cost,expandable,output_parameters
CR,CR-charcoal-h,conversion,hardcoal,gt,CR-charcoal,CR-heat,0,,0.40,0.021,0.0045,False,{}
NR,NR-charcoal-h,conversion,hardcoal,gt,NR-charcoal,NR-heat,0,,0.40,0.021,0.0045,False,{}
WR,WR-charcoal-h,conversion,hardcoal,gt,WR-charcoal,WR-heat,0,,0.40,0.021,0.0045,False,{}
ER,ER-charcoal-h,conversion,hardcoal,gt,ER-charcoal,ER-heat,0,,0.40,0.021,0.0045,False,{}
