region,name,type,balanced
CR,CR-electricity,bus,True
CR,CR-ch4,bus,False
CR,CR-fuel-oil,bus,False
CR,CR-other,bus,False
CR,CR-biomass,bus,False
CR,CR-geothermal,bus,False
CR,CR-heat,bus,True
NR,NR-electricity,bus,True
NR,NR-ch4,bus,False
NR,NR-fuel-oil,bus,False
NR,NR-other,bus,False
NR,NR-biomass,bus,False
NR,NR-geothermal,bus,False
NR,NR-heat,bus,True
WR,WR-electricity,bus,True
WR,WR-ch4,bus,False
WR,WR-fuel-oil,bus,False
WR,WR-other,bus,False
WR,WR-biomass,bus,False
WR,WR-geothermal,bus,False
WR,WR-heat,bus,True
ER,ER-electricity,bus,True
ER,ER-ch4,bus,False
ER,ER-fuel-oil,bus,False
ER,ER-other,bus,False
ER,ER-biomass,bus,False
ER,ER-geothermal,bus,False
ER,ER-heat,bus,True
