region,name,type,carrier,tech,from_bus,to_bus,capacity,capacity_cost,efficiency,carrier_cost,marginal_cost,expandable,output_parameters
CR,CR-biomass-st,conversion,biomass,gt,CR-biomass,CR-electricity,0,,0.38,0.041,0.0014,False,{}
NR,NR-biomass-st,conversion,biomass,gt,NR-biomass,NR-electricity,400000,,0.38,0.041,0.0014,False,{}
